id,name,category,price,rating,reviewCount,image,description,trending,width,height,depth,images,features,styles,tags,colors
40595942,GLOSTAD Sofa,Three-seat sofas,199,3.9,40,https://www.ikea.com/us/en/images/products/glostad-sofa-knisa-dark-gray__1234948_pe917261_s5.jpg,"GLOSTAD Sofa - Knisa dark gray. GLOSTAD sofa has a simple design which is also comfortable with its thick seat, padded armrests and soft back cushions that sit firmly in place. The sofa's low weight makes it easy to move – in your current home or when moving to a new home. Stationary cover.",False,67,26,30,https://www.ikea.com/us/en/images/products/glostad-sofa-knisa-dark-gray__1234948_pe917261_s5.jpg|https://www.ikea.com/us/en/images/products/glostad-sofa-knisa-dark-gray__1235175_pe917294_s5.jpg|https://www.ikea.com/us/en/images/products/glostad-sofa-knisa-dark-gray__1235915_pe917390_s5.jpg|https://www.ikea.com/us/en/images/products/glostad-sofa-knisa-dark-gray__1235896_pe917385_s5.jpg|https://www.ikea.com/us/en/images/products/glostad-sofa-knisa-dark-gray__1235914_pe917391_s5.jpg|https://www.ikea.com/us/en/images/products/glostad-sofa-knisa-dark-gray__1235913_pe917389_s5.jpg|https://www.ikea.com/us/en/images/products/glostad-sofa-knisa-dark-gray__1235176_pe917297_s5.jpg|https://www.ikea.com/us/en/images/products/glostad-sofa-knisa-dark-gray__1387199_pe964151_s5.jpg,"GLOSTAD Sofa - Knisa dark gray|GLOSTAD sofa has a simple design which is also comfortable with its thick seat, padded armrests and soft back cushions that sit firmly in place|The sofa's low weight makes it easy to move – in your current home or when moving to a new home|Stationary cover.","Scandinavian,Minimalist","affordable,comfortable,minimalist",dark gray
19384116,UPPLAND Sofa,Three-seat sofas,899,3.6,168,https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0818565_pe774487_s5.jpg,"UPPLAND Sofa - Blekinge white. Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",False,88,35,36,https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0818565_pe774487_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0818564_pe774486_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0818534_pe774464_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0261000_pe404970_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0739096_pe225167_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0934662_pe792483_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0937793_pe793848_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0252533_pe391799_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0948958_pe799429_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0928381_pe789853_s5.jpg,"UPPLAND Sofa - Blekinge white|Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",Modern,comfortable,white
39442484,UPPLAND Sofa,Three-seat sofas,899,3.6,168,https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-light-beige__1194853_pe902103_s5.jpg,"UPPLAND Sofa - Kilanda light beige. Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",False,88,35,36,https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-light-beige__1194853_pe902103_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-light-beige__1194830_pe902079_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-light-beige__1194852_pe902102_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-light-beige__1194831_pe902080_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-light-beige__0948958_pe799429_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-light-beige__0928381_pe789853_s5.jpg,"UPPLAND Sofa - Kilanda light beige|Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",Modern,comfortable,light beige
79442482,UPPLAND Sofa,Three-seat sofas,899,3.6,168,https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-dark-blue__1194843_pe902111_s5.jpg,"UPPLAND Sofa - Kilanda dark blue. Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",False,88,35,36,https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-dark-blue__1194843_pe902111_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-dark-blue__1194842_pe902092_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-dark-blue__1194822_pe902072_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-dark-blue__1194823_pe902091_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-dark-blue__0948958_pe799429_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kilanda-dark-blue__0928381_pe789853_s5.jpg,"UPPLAND Sofa - Kilanda dark blue|Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",Modern,comfortable,dark blue
19442480,UPPLAND Sofa,Three-seat sofas,849,3.6,168,https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-gray-green__1194851_pe902101_s5.jpg,"UPPLAND Sofa - Hakebo gray/green. Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",False,88,35,36,https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-gray-green__1194851_pe902101_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-gray-green__1194850_pe902100_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-gray-green__0948958_pe799429_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-gray-green__1194826_pe902076_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-gray-green__1194827_pe902087_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-gray-green__0928381_pe789853_s5.jpg,"UPPLAND Sofa - Hakebo gray/green|Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",Modern,comfortable,gray/green
59442478,UPPLAND Sofa,Three-seat sofas,849,3.6,168,https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-dark-gray__1194847_pe902097_s5.jpg,"UPPLAND Sofa - Hakebo dark gray. Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",False,88,35,36,https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-dark-gray__1194847_pe902097_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-dark-gray__1194846_pe902096_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-dark-gray__0948958_pe799429_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-dark-gray__1194838_pe902084_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-dark-gray__1194839_pe902073_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hakebo-dark-gray__0928381_pe789853_s5.jpg,"UPPLAND Sofa - Hakebo dark gray|Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",Modern,comfortable,dark gray
39499965,UPPLAND Sofa,Three-seat sofas,999,3.6,168,https://www.ikea.com/us/en/images/products/uppland-sofa-hillared-beige__0779493_pe759535_s5.jpg,"UPPLAND Sofa - Hillared beige. Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",False,88,35,36,https://www.ikea.com/us/en/images/products/uppland-sofa-hillared-beige__0779493_pe759535_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hillared-beige__0779492_pe759536_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hillared-beige__1241948_pe919992_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hillared-beige__0779162_pe759289_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hillared-beige__0948958_pe799429_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-hillared-beige__0928381_pe789853_s5.jpg,"UPPLAND Sofa - Hillared beige|Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",Modern,comfortable,beige
79499968,UPPLAND Sofa,Three-seat sofas,949,3.6,168,https://www.ikea.com/us/en/images/products/uppland-sofa-kelinge-beige__1194879_pe902129_s5.jpg,"UPPLAND Sofa - Kelinge beige. Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",False,88,35,36,https://www.ikea.com/us/en/images/products/uppland-sofa-kelinge-beige__1194879_pe902129_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kelinge-beige__1194878_pe902128_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kelinge-beige__1241946_pe919997_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kelinge-beige__0948958_pe799429_s5.jpg|https://www.ikea.com/us/en/images/products/uppland-sofa-kelinge-beige__0928381_pe789853_s5.jpg,"UPPLAND Sofa - Kelinge beige|Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.",Modern,comfortable,beige
69489639,HYLTARP Sofa,Three-seat sofas,1199,4.3,89,https://www.ikea.com/us/en/images/products/hyltarp-sofa-gransel-natural__1193814_pe901641_s5.jpg,"HYLTARP Sofa - Gransel natural. Skillful craftsmanship and a perfect fit means that the sofa will always shows off its best side. This cover is made of Gransel, a fabric with elements of linen and viscose that add a slight luster. The threads in different sizes create a natural, vibrant expression.",True,91,36,36,https://www.ikea.com/us/en/images/products/hyltarp-sofa-gransel-natural__1193814_pe901641_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-gransel-natural__1193813_pe901640_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-gransel-natural__1194010_pe901762_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-gransel-natural__1194011_pe901763_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-gransel-natural__1256064_pe924900_s5.jpg,"HYLTARP Sofa - Gransel natural|Skillful craftsmanship and a perfect fit means that the sofa will always shows off its best side|This cover is made of Gransel, a fabric with elements of linen and viscose that add a slight luster|The threads in different sizes create a natural, vibrant expression.",Rustic,luxury,off-white
39489645,HYLTARP Sofa,Three-seat sofas,1149,4.3,89,https://www.ikea.com/us/en/images/products/hyltarp-sofa-hallarp-white__1193806_pe901633_s5.jpg,"HYLTARP Sofa - Hallarp white. Skillful craftsmanship and a perfect fit means that the sofa will always shows off its best side. This cover is made from Hallarp fabric in cotton and polyester. It‘s soft, comfortable and durable – and woven with a texture.",True,91,36,36,https://www.ikea.com/us/en/images/products/hyltarp-sofa-hallarp-white__1193806_pe901633_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-hallarp-white__1193805_pe901632_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-hallarp-white__1271191_ph194352_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-hallarp-white__1271192_ph194128_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-hallarp-white__1271196_ph194132_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-hallarp-white__1194006_pe901758_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-hallarp-white__1194007_pe901759_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-hallarp-white__1256064_pe924900_s5.jpg,"HYLTARP Sofa - Hallarp white|Skillful craftsmanship and a perfect fit means that the sofa will always shows off its best side|This cover is made from Hallarp fabric in cotton and polyester|It‘s soft, comfortable and durable – and woven with a texture.",Modern,"luxury,comfortable,durable",white
